netid,prelim1,prelim2,prelim3,Designguideline,Poster,Discussionsession,Extracredit,Total1,Total2
lpy5,91.5,76.5,81,100,100,100,0,549,549
ty282,69.5,79,40,100,100,100,20,488.5,508.5
cdy22,38.5,31,34.75,0,0,0,0,104.25,104.25
ey255,96,90,84,100,100,100,20,570,590
jey36,100,98,99,100,100,100,20,597,617
qy228,98.5,94.5,88,100,100,100,20,581,601
nz223,98,93,93.5,100,100,100,20,584.5,604.5
nnz2,93.5,88,87.5,100,80,100,20,549,569
jz486,89.5,0,95,100,100,100,0,484.5,484.5
lz533,86.5,86.5,81.5,100,100,100,20,554.5,574.5
kz88,93.5,93,93.5,100,100,100,1,580,581
tz272,99.5,97,89,100,100,100,20,585.5,605.5
tz348,88.5,0,74,100,100,100,20,462.5,482.5
wz294,86,81.5,71,100,100,100,0,538.5,538.5
kz225,91,96,98.5,100,100,100,20,585.5,605.5
dz282,94.5,88,99.5,98,100,100,20,580,600
yz395,95.5,72.5,89,100,70,100,0,527,527
jmz68,100,89,97,100,100,100,20,586,606
