netid,p1q1,p1q2,p1q3,p1q4,p1,p2q1,p2q2,p2q3,p2q4,p2,treat,treatreal,group,Q29p,Q30p,Q28p,Q6p,Q7p,Q8p,Q9p,Q10p,Q11p,Q12p,Q13p,Q14p,Q17p,Q18p,Q19p,Q20p,Q21p,Q22p,Q23p,Q24p,Q25p,Q26p,Q27p,Q28,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27
hrb53,25,25,18,23,91,25,25,23,25,98,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
sdb246,21,22,22,24,89,25,24,25,23,97,treat2,1,#N/A,3,13,1,1,2,3,2,2,2,2,1,1,1,2,2,1,1,3,2,1,1,1,1,1,1,1,5,2,1,2,3,1,2,2,2,2,1,1,1,2,1,2,2,1
ab972,25,22,21,25,93,22,25,22,23,92,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,4,4,4,2,2,3,2,4,2,2,3,2,2,2,2,2,3,2,2
ab2695,21,24,22,22.5,89.5,24,23,18,25,90,treat3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5,2,3,3,2,3,2,2,2,4,3,3,4,3,3,3,4,4,3,3,2
mab635,24,24,24,25,97,24,24.5,23,25,96.5,treat2,1,#N/A,2,13,2,2,1,1,1,1,1,2,2,3,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,2,2,1,2,2,4,2,1,1,1
keb289,24,23,22,24.5,93.5,24,17,23,14,78,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
db632,25,22,25,19,91,24,25,22,21,92,treat3,1,#N/A,0,13,1,1,2,1,1,1,4,4,3,3,1,1,1,2,2,2,3,2,1,1,1,2,2,3,2,2,1,1,3,3,2,4,2,2,4,2,3,3,4,3,3,3
nb387,22,16,21,17,76,22,23,22,12,79,treat1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,1,3,1,1,1,1,3,1,4,3,2,3,3,2,2,2,2,1,2,1
omb8,25,23.5,21,24,93.5,24,25,25,25,99,treat3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2,3,5,2,1,1,1,2,1,2,3,3,3,2,2,2,3,3,2,2,2
mb2569,23,22,20,23,88,24,24,18,22,88,#N/A,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
